artifact,path,description
latest_lmpc_pretrain,results/PretrainLMPC/20260612_011323,Latest 512x5 bounded-mixed LMPC pretraining bundle.
latest_lmpc_comparison,results/PretrainLMPCComparison/20260613_003113,Latest 512x5 comparison against Direct LMPC and OF-MPC.
governed_reference_pretrain,results/PretrainLMPC/20260610_005100,Historical governed-reference LMPC pretraining bundle.
governed_reference_comparison,results/PretrainLMPCComparison/20260610_173925,Historical governed-reference comparison bundle.
of_mpc_reference_comparison,results/PretrainOFMPCComparison/20260610_154032,Positive-control OF-MPC TD3 pretraining comparison.
direct_lmpc_disturbance,results/DirectLMPCDisturbance/20260611_000526,Online disturbance/control result for Direct LMPC.
offset_free_mpc_disturbance,results/OffsetFreeMPCDisturbance/20260611_000530,Online disturbance/control result for OF-MPC.
online_lmpc_pretrained_gate,results/OnlineTD3_LMPCPretrained_SafetyGate/20260612_231616,Online disturbance/control result for LMPC PT + gate.
online_lmpc_pretrained_no_gate,results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260612_231608,Online disturbance/control result for LMPC PT no gate.
online_ofmpc_pretrained_gate,results/OnlineTD3_OFMPCPretrained_SafetyGate/20260612_231623,Online disturbance/control result for OF-MPC PT + gate.
online_ofmpc_pretrained_no_gate,results/OnlineTD3_OFMPCPretrained_NoSafetyGate/20260612_231619,Online disturbance/control result for OF-MPC PT no gate.
